Taxon,N spp,Ocean acid.,Ultraviolet,Marine heatwaves,Salinity,Sea Level Rise,Eutrophication,Oceanographic,Air Temp.,Microplastic,Inorg. Poll.,Poisons Toxins,Sedimentation,Org. Poll.,Hab. Loss/Degr.,Noise Poll.,Storm Dist.,Macroplastic,Wildlife Strike,Light Poll.,Inv. Species,Bycatch,SST rise,Biomass Removal,Overall
Seabirds,341,0,0,0.17091635840915093,0,0.20344017334655248,0.10084750974161394,0,0.29638896535145226,0.06672981854964855,0.29196091527414414,0.05106973661523482,0.2641963059172891,0.3795257097986923,0.4020463257748501,0.4594821129020157,0.4667722101311414,0.36048131902398434,0.5452745074365107,0.6041887051874325,0.6089580173275195,0.6568186692812436,0.7990345678185934,0.7990345678185934,0.3272681085089419
Marine mammals,156,0,0,0.1951083862817533,0.04353362045293483,0.1444725852193713,0.12734669370672608,0.04562212715311521,0.217684688022996,0.06431231783877549,0.2394512278415315,0.0497658234963247,0.21657908721235503,0.3570156404466914,0.25699627643453876,0.44862960061365287,0.24526885066016083,0.44049345328161355,0.5568256957875184,0.3871781253033151,0.29731710355057894,0.6958686527138072,0.7860790156580101,0.7860790156580101,0.2870273037971209
Reptiles,95,0,0,0.14909050622351114,0,0.05822214582860121,0.21160524277678783,0,0.09146189794309507,0.06731734850504047,0.2863720549732979,0.05246125419728438,0.3747671575908857,0.33183894401939584,0.3825025506810961,0.005961236180846996,0.2760133803401048,0.490703339110251,0.5531583857814533,0.32551044414266217,0.18407328077346224,0.6843104766836304,0.7568374745893348,0.7568374745893348,0.26256715630130767
Bony fishes,17530,0.05775216597961138,0.13655185673933043,0.19436164474110582,0.16498395153973558,0.13615352742325906,0.2826859475193303,0.2838595806690433,0.0669279585352534,0.2980386191400045,0.31615010993358855,0.3361626822405996,0.3552299979619524,0.3912759715837679,0.09614363070262066,0.20584610525392066,0.13046822537198952,0.10846616099218707,0.09484740632356665,0.2960680361949836,0,0.3650232341463755,0.591400757795571,0.6606180995505664,0.24213111610166796
Elasmobranchs,1248,0,0,0.07510737600738668,0.19556248624100592,0.17987921875703478,0.18193717827837425,0.25346119979734627,0.0015787303161924541,0.21865910794535068,0.20323860147084635,0.2342092862951975,0.16124134093986048,0.28140807198738205,0.3816933855679197,0.1289113769672659,0.059856425705490254,0.1878250635220963,0.02065402767611652,0.0017882713306440112,0.0025283977320604578,0.4972085952468308,0.6675911886761351,0.8170086144826927,0.20658034543231432
Corals,1443,0.48904988585372283,0.3614330157863875,0.5494201652748927,0.6342019660790587,0.44774899162050164,0.561881261800396,0.48497500823954715,0,0.21522590850413617,0.4529638794295914,0.423401847796742,0.32855688473347394,0.4530371816998421,0.3931085613613987,0,0.17859309342070995,0.09928369339889363,0.08861608634757391,0.22387449581025082,0,0.34181695339135976,0.6784075630613661,0.7348106185447684,0.3539307418328093
Echinoderms,7945,0.4423684646622237,0.16210156722314492,0.5862817484292692,0.4940289959569825,0.21024778787713008,0.5363886778831933,0.4804073151047426,0.10158361793683501,0.2730708297077872,0.5039056731319835,0.4638071790756181,0.35886510810459177,0.42613757600537266,0.1263101316791629,0.014281308197902567,0.2499508929697878,0.08129468622985182,0.002703990296356733,0.17130850037519932,0,0.3031563376974355,0.7243125778795421,0.7450454698930307,0.32424167114422364
Molluscs,9558,0.42884702429656407,0.16274836688897856,0.42161465359094574,0.3902612395791514,0.21449415842851244,0.4613234160648257,0.2511866945709286,0.3133610050597098,0.40610439873259857,0.4165517789544829,0.4455831291453359,0.36305420241983005,0.42974115133418855,0.07491296242692277,0,0.16947430967229035,0.14358762031459718,0,0.21259152624112926,0,0.3538932006066971,0.7250333048009163,0.7611718017300867,0.31067547586342137
Cephalopods,793,0.42300385641032695,0.09275026080928633,0.37611732063464676,0.48367400796482374,0.18994911529566907,0.5157993651011789,0.3814419538127022,0,0.3008841049803319,0.4655987298186277,0.39064332672831564,0.34142576888776127,0.4199226698398956,0.13234876739005563,0.24194054899828016,0.09638788522658857,0.1447063214625225,0.06685971569152008,0.09740437319996662,0,0.3947361455648698,0.671506588327248,0.7317802729485821,0.30256004778666085
Sponges,7482,0.17666927831147128,0.23075109766885216,0.3610318731596595,0.06803272349241428,0,0.2614791585316381,0,0,0.4759174334370472,0.3968045769355407,0.43045582336866,0.4737877835423553,0.44347791523911984,0.11536840649789117,0,0.30330082481752074,0.08387165197677261,0,0.27869947826123803,0,0.33872587552649813,0.844543873518903,0.8495309933026531,0.266628207286445
Polychaetes,2639,0.07832261023427477,0.23907852601500545,0.2545567994553872,0.30413249681464405,0.24983581767044188,0.1951063480559802,0.27806133326967863,0.14973006700090813,0.5652193540020745,0.29253284327911117,0.446296485999048,0.37958870453922317,0.3883761396696384,0,0,0.1465862784287055,0.00423218817112589,0.004906675028737695,0.24815191578080556,0,0.009406987226752903,0.8244402500857011,0.842610100817208,0.2565726922410631
Marine arthropods,7004,0.3325250000006625,0.15694074576930628,0.3111777288350649,0.31551440480916815,0.04488126206343571,0.32947136157032775,0.09153766683580766,0.24103330282050195,0.312193913649222,0.3071736010160103,0.29414650362490297,0.29682875613812765,0.3219478766293826,0.12017980956735924,0.007728677043966936,0.10008594432450893,0.17544841827144292,0,0.2468189679780611,0,0.39999712685230954,0.6264375821121337,0.7167063029603054,0.24994673708139165
