category,trait,acropora,diploastrea heliopora,pocillopora,porites
biophysical traits,adult body mass/body size,unknown,unknown,unknown,unknown
biophysical traits,biomineral,aragonite,aragonite,aragonite,aragonite
biophysical traits,calcium carbonate structure location,external,external,external,external
biophysical traits,calcium carbonate structure stages,adult,adult,adult,adult
biophysical traits,communication requirement (sound),no,no,no,no
biophysical traits,extreme pressure wave sensitive structures,none,none,none,none
biophysical traits,flight,no,no,no,no
biophysical traits,respiration structures,diffusiion,diffusion,diffusion,diffusion
breeding/nesting range/number of spawning aggregations (fish),number of sites,does not aggregate,does not aggregate,does not aggregate,does not aggregate
foraging range,"number of sites, incl. terrestrial wetlands",does not aggregate,does not aggregate,does not aggregate,does not aggregate
movement,adult mobility,sessile,sessile,sessile,sessile
movement,planktonic larval duration (pld) exposure,<1week;4months-1yr,<1week;4months-1yr,<1week;4months-1yr,<1week;4months-1yr
physiological tolerance breadths,dissolved oxygen,low tolerance,low tolerance,low tolerance,low tolerance
physiological tolerance breadths,ph,7.8-8.2,7.8-8.2,7.8-8.2,7.8-8.2
physiological tolerance breadths,salinity,stenohaline,stenohaline,stenohaline,stenohaline
physiological tolerance breadths,sensitivity to wave energy (physical forcing),not sensitive,not sensitive,not sensitive,not sensitive
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,yes,yes,yes,yes
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,30c,30c,30c,30c
r (reproductive traits),age to 1st reproduction/generation time,1-5yrs,1-5yrs;5-10yrs,1-5yrs,1-5yrs;5-10yrs
r (reproductive traits),are there sub-populations?,yes,yes,yes,yes
r (reproductive traits),can the sex ratio be altered by temperature?,no,no,no,no
r (reproductive traits),fecundity,1000-10000,1000-10000,1000-10000,1000-10000
r (reproductive traits),feeding larva (post-hatching metamorphosis),non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier,non-feeding non-calcifier
r (reproductive traits),global population size,100k-1m,10k-100k,100k-1m,100k-1m
r (reproductive traits),lifetime # reproductive opportunities,51-100,51-100,>100,>100
r (reproductive traits),max age,20-100yrs,20-100yrs,10-20yrs,>100yrs
r (reproductive traits),parental investment,spawner,spawner,spawner,spawner
r (reproductive traits),post-birth/hatching parental dependence,na,na,na,na
r (reproductive traits),reproductive strategy,sexual hermaphrodite,sexual hermaphrodite,sexual hermaphrodite,sexual dioecious
spatial scale of species,eoo (range),>20000,>20000,>20000,>20000
spatial scale of species,zone,benthic,benthic,benthic,benthic
specialisation,across-stage dependent habitats + condition,coral reef;surface water,coral reef;surface water,coral reef;surface water,coral reef;surface water
specialisation,air-sea interface,no,no,no,no
specialisation,dependent interspecific interactions,no,no,no,no
specialisation,extreme diet specialization,generalist,generalist,generalist,generalist
specialisation,photosynthetic,yes,yes,yes,yes
specialisation,terrestrial and marine life stages,no,no,no,no
specialisation,within-stage dependent habitats + condition,coral reef,coral reef,coral reef,coral reef
