category,trait,acrochordus,amblyrhynchus cristatus,caretta caretta,chelonia mydas,crocodylus acutus,crocodylus porosus,dermochelys coriacea,elapidae,ephalophis,eretmochelys imbricata,hydrelaps,laticauda,lepidochelys kempii,lepidochelys olivacea,natator depressa,parahydrophis
biomass removal,biomass removal sensitivity trait,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive
biophysical traits,adult body mass/body size,>1000mm,>1000mm,50mm-999mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,50mm-999mm,>1000mm,>1000mm,50mm-999mm,50mm-999mm,50mm-999mm,>1000mm
biophysical traits,calcium carbonate structure location,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
biophysical traits,calcium carbonate structure stages,none,no,none,none,none,none,none,none,none,none,none,none,none,none,none,none
biophysical traits,communication requirement (sound),no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
biophysical traits,extreme pressure wave sensitive structures,low,low,unknown,unknown,NA,low,unknown,low,low,unknown,low,low,unknown,unknown,unknown,low
biophysical traits,flight,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,navigation requirements (light),NA,NA,yes,yes,NA,NA,yes,NA,NA,yes,NA,NA,yes,yes,yes,NA
biophysical traits,navigation requirements (magnetic),NA,NA,yes,yes,NA,NA,yes,NA,NA,yes,NA,NA,yes,yes,yes,NA
biophysical traits,respiration structures,lungs,lungs,lungs,lungs,NA,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",medium,small,na,na,NA,NA,na,medium,medium,na,medium,small,medium,na,na,medium
breeding/nesting range/number of spawning aggregations (fish),number of sites,few,few,many,many,many,many,many,many,few,many,few,few,few,many,many,few
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
foraging range,"if one/few, size",few;medium,very small,na,na,medium,medium,na,few;medium,few;medium,na,few;medium,few;medium,na,na,na,few;medium
foraging range,"number of sites, incl. terrestrial wetlands",many,few;one,does not aggregate,does not aggregate,many,many,does not aggregate,many,many,does not aggregate,many,many,does not aggregate,does not aggregate,does not aggregate,many
foraging range,sub-population dependence on particular sites,yes,yes,no,no,NA,NA,no,yes,yes,no,yes,yes,no,no,no,yes
movement,adult mobility,mobile resident,mobile resident,horizontal migrator,horizontal migrator,mobile resident,mobile resident,nomadic,mobile resident,mobile resident,horizontal migrator,mobile resident,mobile resident,horizontal migrator,nomadic,horizontal migrator,mobile resident
movement,planktonic larval duration (pld) exposure,NA,not larvae,not larvae,not larvae,not larvae,not larvae,not larvae,NA,NA,not larvae,NA,NA,not larvae,not larvae,not larvae,NA
physiological tolerance breadths,dissolved oxygen,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers,air breathers
physiological tolerance breadths,ph,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4,<7.4
physiological tolerance breadths,salinity,broad,na,na,na,na,na,na,broad,broad,na,broad,broad,na,na,na,broad
physiological tolerance breadths,sensitivity to wave energy (physical forcing),sensitive,not sensitive,not sensitive,not sensitive,na,na,not sensitive,sensitive,sensitive,not sensitive,sensitive,sensitive,not sensitive,not sensitive,not sensitive,sensitive
physiological tolerance breadths,sst rise sensitivity trait,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,no,yes,no,no,NA,NA,no,no,no,no,no,no,no,no,no,no
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,30c,30c,30c,30c,30c,30c,30c,30c,30c,30c,30c,30c,30c,30c,30c,30c
r (reproductive traits),age to 1st reproduction/generation time,1-5yrs,1-5yrs,>20yrs,>20yrs,10-20yrs,10-20yrs,10-20yrs,1-5yrs,1-5yrs,>20yrs,1-5yrs,1-5yrs,10-20yrs,10-20yrs,>20yrs,1-5yrs
r (reproductive traits),are there sub-populations?,no,yes,yes,yes,NA,NA,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
r (reproductive traits),can the sex ratio be altered by temperature?,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,no
r (reproductive traits),fecundity,1-2;2-5;5-10,1-2;2-5;5-10,100-1000,100-1000,20-50,20-50,100-1000,1-2;2-5;5-10,1-2;2-5;5-10,100-1000,1-2;2-5;5-10,1-2;2-5;5-10,100-1000,100-1000,50-100,1-2;2-5;5-10
r (reproductive traits),feeding larva (post-hatching metamorphosis),no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva,no larva
r (reproductive traits),global population size,10k-100k,100k-1m,1k-10k;10k-100k,1k-10k;10k-100k,10k-100k,100k-1m,1k-10k;10k-100k,NA,NA,1k-10k;10k-100k,NA,NA,1k-10k;10k-100k,1k-10k;10k-100k,1k-10k;10k-100k,NA
r (reproductive traits),lifetime # reproductive opportunities,2-10,11-25,26-50,51-100,26-50,26-50,26-50,2-10,2-10,51-100,2-10,2-10,26-50,26-50,51-100,2-10
r (reproductive traits),max age,5-10yrs,10-20yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,20-100yrs,10-20yrs,5-10yrs,20-100yrs,5-10yrs,10-20yrs,20-100yrs,20-100yrs,20-100yrs,5-10yrs
r (reproductive traits),parental investment,live birth/egg care,egg-layer,egg-layer,egg-layer,live birth/egg care,live birth/egg care,egg-layer,live birth/egg care,live birth/egg care;egg-layer unattended,egg-layer,live birth/egg care;egg-layer unattended,egg-layer unattended,egg-layer,egg-layer,egg-layer,live birth/egg care;egg-layer unattended
r (reproductive traits),post-birth/hatching parental dependence,na,na,na,na,month-year,month-year,na,na,na,na,na,na,na,na,na,na
r (reproductive traits),reproductive strategy,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious
spatial scale of species,depth (min/max),epipelagic;air,epipelagic;air,epipelagic;air,epipelagic;air,epipelagic;air,epipelagic;air,epipelagic;air,epipelagic,epipelagic;air,epipelagic;air,epipelagic;air,epipelagic;air,epipelagic;air,epipelagic;air,epipelagic;air,epipelagic;air
spatial scale of species,eoo (range),100-4999,5000-19999,>20000,>20000,>20000,>20000,>20000,<99,100-4999,>20000,100-4999,<99,>20000,>20000,>20000,100-4999
spatial scale of species,zone,intertidal;benthic,intertidal,neritic;oceanic,neritic;oceanic,intertidal,intertidal,neritic;oceanic,benthic,intertidal;benthic,neritic;oceanic;benthic,intertidal;benthic,benthic,neritic;oceanic;benthic,neritic;oceanic,neritic;oceanic,intertidal;benthic
specialisation,across-stage dependent habitats + condition,seagrass;intertidal mud;mangrove;subtidal soft bottom;salt marsh;surface water,rocky intertidal;hard shelf;surface water,surface water;deep water;beach;continental shelf,coral reef;seagrass;surface water;beach;continental shelf,mangrove;beach;intertidal mud;rocky intertidal,mangrove;beach;intertidal mud;rocky intertidal,surface water;deep water;beach;continental shelf,coral reef;seagrass;intertidal mud;mangrove;subtidal soft bottom;surface water,seagrass;intertidal mud;mangrove;subtidal soft bottom;salt marsh;surface water,coral reef;surface water;beach;continental shelf,seagrass;intertidal mud;mangrove;subtidal soft bottom;salt marsh;surface water,coral reef;rocky reef;rocky intertidal;subtidal soft bottom;beach;surface water,surface water;beach;continental shelf,surface water;deep water;beach;continental shelf,surface water;beach;continental shelf,seagrass;intertidal mud;mangrove;subtidal soft bottom;salt marsh;surface water
specialisation,air-sea interface,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
specialisation,dependent interspecific interactions,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,extreme diet specialization,generalist,specialist,generalist,generalist,generalist,generalist,generalist,specialist;generalist,generalist,specialist,generalist,specialist,generalist,generalist,generalist,generalist
specialisation,habitat forming,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,photosynthetic,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,terrestrial and marine life stages,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
specialisation,within-stage dependent habitats + condition,seagrass;intertidal mud;mangrove;subtidal soft bottom;salt marsh,rocky intertidal;hard shelf;surface water,surface water;deep water;beach;continental shelf,coral reef;seagrass;surface water;beach;continental shelf,mangrove;beach;intertidal mud;rocky intertidal,mangrove;beach;intertidal mud;rocky intertidal,surface water;deep water;beach;continental shelf,coral reef;seagrass;intertidal mud;mangrove;subtidal soft bottom,seagrass;intertidal mud;mangrove;subtidal soft bottom;salt marsh,coral reef;surface water;beach;continental shelf,seagrass;intertidal mud;mangrove;subtidal soft bottom;salt marsh,coral reef;rocky reef;rocky intertidal;subtidal soft bottom;beach,surface water;beach;continental shelf,surface water;deep water;beach;continental shelf,surface water;beach;continental shelf,seagrass;intertidal mud;mangrove;subtidal soft bottom;salt marsh
